                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2020


NAME: Kingstowne, VA                  
ELEV: 28 feet    LAT: 38-46.01 N    LONG: 077-09.08 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   80.5   91.0  14:22   71.0  05:58    0.0   15.5   0.00    1.4    9.0  14:04     77
 02   83.6   94.6  15:11   77.2  05:58    0.0   18.6   0.09    2.1   15.0  17:07     24
 03   78.6   90.1  13:07   71.1  17:11    0.0   13.6   0.71    1.1   12.0  16:36     21
 04   75.6   90.0  15:42   68.2  07:16    0.0   10.6   1.75    2.0   15.0  09:18    359
 05   79.2   90.9  14:40   67.1  06:32    0.0   14.2   0.00    1.0    7.0  09:40     16
 06   76.9   88.3  14:23   70.6  06:46    0.0   11.9   1.05    1.4    8.0  13:06     29
 07   78.7   89.9  14:48   70.6  06:30    0.0   13.7   0.01    1.2    8.0  14:25     18
 08   77.2   85.0  15:37   71.7  06:59    0.0   12.2   0.00    1.0    6.0  05:42     15
 09   80.3   92.1  13:14   70.5  06:17    0.0   15.3   0.23    0.9    9.0  14:32     13
 10   83.4   96.4  14:38   72.0  06:44    0.0   18.4   0.00    1.0    9.0  18:14     13
 11   83.6   95.2  15:27   73.7  06:33    0.0   18.6   0.00    1.3   10.0  16:28     25
 12   81.8   95.5  15:18   73.0  07:14    0.0   16.8   0.21    1.5   10.0  15:36     13
 13   77.5   83.8  16:35   72.0  10:23    0.0   12.5   1.03    1.7   10.0  18:23     33
 14   79.0   90.9  15:15   74.3  02:59    0.0   14.0   0.00    2.5   11.0  17:42     29
 15   74.6   79.0  13:32   71.5  07:09    0.0    9.6   0.03    1.8    8.0  12:08     31
 16   69.3   77.5  15:55   64.1  04:41    0.0    4.3   1.31    2.2   11.0  04:33     13
 17   73.1   87.9  13:01   62.0  06:04    0.0    8.1   0.00    0.9    7.0  12:33    357
 18   77.2   89.6  14:46   66.1  05:57    0.0   12.2   0.00    1.0    7.0  13:58      6
 19   74.6   86.0  15:07   66.8  07:47    0.0    9.6   0.28    1.0    8.0  14:15      4
 20   75.0   86.6  14:18   64.7  06:28    0.0   10.0   0.00    1.4    8.0  13:38     43
 21   76.3   86.6  15:29   66.3  06:06    0.0   11.3   0.00    1.0    7.0  13:23     15
 22   78.3   88.2  15:26   72.6  06:57    0.0   13.3   0.00    1.0    8.0  12:24     27
 23   82.1   93.4  15:06   73.8  06:40    0.0   17.1   0.00    1.1    9.0  15:41    352
 24   79.9   93.6  12:45   73.2  06:33    0.0   14.9   0.54    0.9    8.0  13:44    346
 25   80.7   93.1  14:56   71.1  06:40    0.0   15.7   0.07    1.2   10.0  19:30     32
 26   79.1   89.9  15:24   68.7  06:51    0.0   14.1   0.00    1.2   10.0  14:19    125
 27   83.5   96.6  14:41   71.3  05:08    0.0   18.5   0.00    1.4   11.0  16:12    168
 28   81.5   95.2  14:35   72.4  23:53    0.0   16.5   1.63    1.3   10.0  18:59    139
 29   76.4   83.9  16:57   71.0  04:41    0.0   11.4   0.54    1.1    7.0  23:36    161
 30   74.5   85.2  15:32   62.5  06:43    0.0    9.5   0.00    1.1    9.0  10:23    112
 31   70.2   78.2  12:02   65.3  06:54    0.0    5.2   0.32    0.9    7.0  19:36    127
---------------------------------------------------------------------------------------
      78.1   96.6     27   62.0     17    0.0  407.0   9.80    1.3   15.0     02     35
    
