                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2020


NAME: Kingstowne, VA                  
ELEV: 28 feet    LAT: 38-46.01 N    LONG: 077-09.08 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   72.8   81.2  15:21   66.4  00:03    0.0    7.8   0.06    1.5    7.0  14:25    116
 02   79.9   90.1  14:52   72.8  03:03    0.0   14.9   0.01    1.5   10.0  11:01    171
 03   82.3   94.2  15:01   72.8  06:51    0.0   17.3   0.46    1.3   11.0  16:45    162
 04   79.7   92.9  14:16   69.5  06:38    0.0   14.7   0.00    1.0    8.0  13:51    142
 05   72.3   82.9  14:54   60.1  06:58    0.0    7.3   0.00    1.1    8.0  12:04    105
 06   72.2   86.8  14:42   58.8  06:11    0.0    7.2   0.00    0.9   10.0  13:21    165
 07   72.8   85.9  15:24   60.0  06:58    0.0    7.8   0.00    0.9    7.0  13:58    156
 08   75.2   87.0  14:38   63.0  05:49    0.0   10.2   0.00    1.3    7.0  14:34    116
 09   75.1   79.7  14:58   71.4  05:43    0.0   10.1   0.94    1.8    8.0  14:15     93
 10   76.6   80.8  16:44   74.3  06:49    0.0   11.6   0.47    1.3    6.0  03:35    108
 11   76.3   82.1  12:48   72.9  06:50    0.0   11.3   0.00    1.8   10.0  14:47     83
 12   70.8   75.0  15:01   64.8  23:54    0.0    5.8   0.00    2.3   11.0  08:18    108
 13   71.4   82.7  14:39   58.9  06:19    0.0    6.4   0.00    0.9    8.0  13:23    162
 14   73.1   80.7  15:03   62.6  23:58    0.0    8.1   0.00    1.7   10.0  12:26     76
 15   61.2   71.1  14:33   52.0  07:06    3.8    0.0   0.00    1.6   11.0  03:44     84
 16   62.6   75.1  14:52   50.8  06:34    2.4    0.0   0.00    0.7    8.0  14:33    168
 17   67.9   74.8  12:43   62.7  06:52    0.0    2.9   0.30    0.4    4.0  14:03    137
 18   68.0   75.6  15:27   60.5  23:59    0.0    3.0   0.13    2.1   11.0  23:00     72
 19   56.4   66.4  15:07   46.7  07:09    8.6    0.0   0.00    2.4   14.0  10:08     71
 20   56.4   69.0  14:52   44.0  05:35    8.6    0.0   0.00    2.1   12.0  12:23     82
 21   56.0   68.2  14:53   45.7  06:53    9.0    0.0   0.00    1.7   10.0  10:59     82
 22   58.3   74.1  14:49   44.1  07:05    6.7    0.0   0.00    0.8    7.0  09:00    123
 23   66.5   83.5  14:44   51.1  06:00    0.0    1.5   0.00    0.9    8.0  17:03    134
 24   65.8   74.5  15:43   58.4  02:39    0.0    0.8   0.00    0.3    7.0  17:04    157
 25   64.1   70.9  14:46   60.0  07:08    0.9    0.0   0.24    0.7    7.0  23:29    153
 26   66.2   72.5  16:06   61.3  00:56    0.0    1.2   0.20    1.0    8.0  15:39    100
 27   70.8   78.9  13:54   66.3  07:04    0.0    5.8   0.05    0.5    6.0  15:58    136
 28   71.9   82.2  14:43   65.3  06:36    0.0    6.9   0.00    1.4   10.0  14:31    162
 29   70.2   83.3  14:45   55.8  23:48    0.0    5.2   0.19    2.2   10.0  09:43    128
 30   62.0   73.4  15:21   52.9  07:40    3.0    0.0   0.09    1.6    9.0  14:03    161
---------------------------------------------------------------------------------------
      69.2   94.2     03   44.0     20   43.1  167.9   3.14    1.3   14.0     19    114
    
