                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2020


NAME: Kingstowne, VA                  
ELEV: 28 feet    LAT: 38-46.01 N    LONG: 077-09.08 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   49.8   57.1  14:47   39.8  23:59   15.2    0.0   0.44    2.1   13.0  20:15    127
 02   42.1   50.1  13:55   36.9  04:09   22.9    0.0   0.00    2.5   14.0  10:23    120
 03   48.8   65.0  13:54   34.0  03:13   16.2    0.0   0.00    1.2   12.0  09:17    125
 04   51.6   69.6  13:45   37.0  06:30   13.4    0.0   0.00    0.8   10.0  11:44    175
 05   55.2   71.6  13:58   43.0  06:57    9.8    0.0   0.00    0.6    8.0  13:59    171
 06   56.3   74.8  13:55   46.3  04:39    8.7    0.0   0.00    0.3    6.0  14:13    161
 07   57.1   77.8  13:44   42.9  06:48    7.9    0.0   0.00    0.3    5.0  13:23    161
 08   59.7   77.6  13:40   45.7  06:47    5.3    0.0   0.00    0.4    8.0  14:41    161
 09   61.8   78.0  13:55   50.1  07:11    3.2    0.0   0.00    0.6    8.0  13:38    172
 10   64.1   79.1  13:29   52.0  06:37    0.9    0.0   0.00    1.1   12.0  11:01    181
 11   67.1   69.8  20:10   61.8  01:49    0.0    2.1   1.19    1.3    9.0  15:55    164
 12   57.6   68.8  00:00   49.8  23:49    7.4    0.0   0.68    1.9   10.0  16:36     71
 13   52.3   61.2  14:08   44.1  23:58   12.7    0.0   0.00    0.9    8.0  13:24     96
 14   48.1   61.6  13:46   38.3  06:22   16.9    0.0   0.00    0.5    5.0  09:07    117
 15   56.5   69.5  17:51   45.0  02:04    8.5    0.0   0.20    2.2   14.0  17:06    166
 16   51.9   62.9  13:53   40.9  23:58   13.1    0.0   0.00    1.2    8.0  10:09    132
 17   44.4   58.2  10:22   36.7  02:41   20.6    0.0   0.00    2.4   13.0  12:42     86
 18   37.4   45.4  13:53   29.3  23:55   27.6    0.0   0.00    1.6   11.0  10:21     79
 19   41.1   52.6  14:44   27.6  06:38   23.9    0.0   0.00    1.9   16.0  10:46    184
 20   50.7   64.5  14:15   39.9  07:17   14.3    0.0   0.00    1.3   10.0  12:05    184
 21   56.3   67.7  13:23   44.2  04:40    8.7    0.0   0.00    0.6    6.0  12:25     99
 22   55.9   60.9  14:16   51.4  07:26    9.1    0.0   0.00    2.6    9.0  05:16     96
 23   50.9   58.1  00:20   42.3  22:44   14.1    0.0   0.01    2.8   13.0  07:23     78
 24   44.4   52.7  13:34   34.8  07:22   20.6    0.0   0.00    1.0    9.0  09:29    120
 25   49.6   57.6  13:53   42.1  07:29   15.4    0.0   0.00    1.8   13.0  10:26    176
 26   59.0   70.7  13:43   51.9  23:50    6.0    0.0   0.03    1.0    8.0  06:23    147
 27   56.7   62.7  12:14   51.9  00:00    8.3    0.0   0.00    0.3    4.0  10:27    108
 28   50.8   61.7  13:36   40.1  23:58   14.2    0.0   0.00    0.9    8.0  10:34    100
 29   46.2   59.0  13:48   32.3  07:09   18.8    0.0   0.00    0.9    8.0  13:42    174
 30   55.7   62.8  14:00   47.7  23:58    9.3    0.0   1.84    1.7   10.0  06:29    126
---------------------------------------------------------------------------------------
      52.6   79.1     10   27.6     19  372.8    2.1   4.39    1.3   16.0     19    130
    
