                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2021


NAME: Kingstowne, VA                  
ELEV: 28 feet    LAT: 38-46.01 N    LONG: 077-09.08 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   48.9   50.6  11:30   45.9  09:07   16.1    0.0   0.00    6.7  111.0  12:02     66
 02   39.2   45.6  14:50   30.0  07:14   25.8    0.0   0.00    9.2  113.0  15:01     63
 03   50.4   61.3  14:39   27.2  06:58   14.6    0.0   0.00   23.2  108.0  15:33    123
 04   50.2   54.8  14:45   42.2  07:10   14.8    0.0   0.00   27.7  113.0  16:19     79
 05   37.3   44.2  14:21   26.9  07:09   27.7    0.0   0.00    4.2  108.0  15:05     69
 06   42.7   50.1  14:25   26.8  07:07   22.3    0.0   0.00    3.9  108.0  15:30     65
 07   41.1   47.5  14:36   24.2  07:05   23.9    0.0   0.00    5.6  111.0  14:59     66
 08   46.8   55.6  14:58   27.9  07:04   18.2    0.0   0.00    9.4  108.0  15:07     92
 09   61.9   72.0  14:18   34.4  07:03    3.1    0.0   0.00    8.9  108.0  15:25    181
 10   62.0   74.1  14:56   45.7  07:03    3.0    0.0   0.00   31.9  111.0  15:21     85
 11   69.4   79.3  14:01   52.2  06:52    0.0    4.4   0.00   29.7  116.0  15:14    181
 12   64.3   68.9  16:22   56.1  07:18    0.7    0.0   0.00    9.2  108.0  10:40    114
 13   53.6   59.2  14:17   45.5  07:25   11.4    0.0   0.00    3.4  108.0  14:57     69
 14   60.2   66.9  15:31   43.3  07:55    4.8    0.0   0.00    5.5  113.0  14:39     90
 15   42.0   48.5  15:44   31.9  07:29   23.0    0.0   0.00    2.7  105.0  15:56     64
 16   43.1   44.9  14:53   39.7  08:19   21.9    0.0   0.00    2.8    8.0  12:23    174
 17   49.1   51.4  14:06   42.0  09:20   15.9    0.0   0.00    1.4    6.0  09:46    115
 18   51.1   54.1  15:36   47.3  09:27   13.9    0.0   0.00    1.5    6.0  15:13    174
 19   45.4   50.4  15:35   39.1  08:56   19.6    0.0   0.00    5.6   16.0  11:21     38
 20   51.7   57.8  15:29   40.2  09:17   13.3    0.0   0.00    4.8  108.0  13:37     92
 21   60.1   65.0  14:22   48.2  09:11    4.9    0.0   0.00    3.5  107.0  15:56     81
 22   60.2   66.4  14:58   47.6  09:10    4.8    0.0   0.00    4.2  108.0  14:55     83
 23   62.5   71.2  14:27  -40.0  08:24    2.5    0.0   0.00    4.2  108.0  17:28     88
 24   57.1   58.8  18:28   54.6  10:18    7.9    0.0   0.02    1.6  105.0  14:46     91
 25   61.0   66.3  16:44   56.3  08:29    4.0    0.0   0.00    4.6  108.0  17:13    168
 26   78.4   84.6  14:39   66.6  08:04    0.0   13.4   0.00   27.9  113.0  12:58    172
 27   65.2   72.2  12:28  -40.0  07:55    0.0    0.2   0.00    4.4  108.0  15:56    163
 28   65.0   72.8  17:08   55.9  09:22    0.0    0.0   0.01   11.3  113.0  17:08    210
 29   55.5   61.0  15:44   45.6  08:58    9.5    0.0   0.00    3.2   12.0  12:54     81
 30   65.6   71.6  15:25   50.9  08:54    0.0    0.6   0.00    6.4  111.0  13:11    190
 31   63.9   67.1  11:09   59.6  08:01    1.1    0.0   0.00    2.6  105.0  11:36    176
---------------------------------------------------------------------------------------
      54.6   84.6     26  -40.0     23  328.9   18.7   0.03    8.5  116.0     11    106
    
