                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2021


NAME: Kingstowne, VA                  
ELEV: 28 feet    LAT: 38-46.01 N    LONG: 077-09.08 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   78.1   82.2  12:57  -40.0  09:46    0.0   13.1   0.00   12.0  108.0  18:15    163
 02   80.0   84.5  14:33  -40.0  10:23    0.0   15.0   0.00   25.4  111.0  18:46    153
 03   83.4   87.3  15:40  -40.0  11:24    0.0   18.4   0.00   16.2  111.0  16:39    171
 04   79.9   85.7  11:59  -40.0  10:58    0.0   14.9   0.00   29.6  108.0  16:58    156
 05   75.4   96.9  14:20  -40.0  08:03    0.0   10.4   0.00   11.4  111.0  17:00    138
 06   88.0   98.5  14:27  -40.0  07:46    0.0   23.0   0.00    1.6  108.0  14:27    175
 07   84.0   94.9  14:06   72.8  05:53    0.0   19.0   0.00    1.4   15.0  13:02    173
 08   82.5   93.7  13:24   74.3  05:49    0.0   17.5   0.12    1.1    8.0  17:36    164
 09   81.2   89.8  14:32   72.8  05:50    0.0   16.2   0.00    0.8    6.0  11:50    121
 10   78.5   94.7  15:44   70.0  23:58    0.0   13.5   1.27    1.4   13.0  15:55    114
 11   68.2   70.2  00:00   66.0  23:02    0.0    3.2   1.87    2.7    9.0  00:56     96
 12   69.7   78.1  15:37   63.4  06:32    0.0    4.7   0.00    1.9   10.0  01:37     96
 13   74.5   85.6  13:38   64.4  05:01    0.0    9.5   0.00    1.3   10.0  12:20    166
 14   76.0   91.4  14:44   66.2  06:05    0.0   11.0   0.33    1.5   12.0  23:09    136
 15   76.0   84.7  14:57   66.2  04:52    0.0   11.0   0.02    1.8    8.0  17:14     94
 16   73.6   83.9  14:27   63.4  06:15    0.0    8.6   0.00    1.6    9.0  13:14    100
 17   71.2   84.4  14:18   59.3  06:20    0.0    6.2   0.00    1.3    9.0  09:27     94
 18   74.7   90.0  15:38   55.4  06:03    0.0    9.7   0.00    1.3    9.0  10:16    166
 19   79.4   92.5  14:26   71.9  06:15    0.0   14.4   0.00    0.7   11.0  14:43    151
 20   81.7   94.5  14:53   69.7  05:57    0.0   16.7   0.19    1.4   11.0  17:02    165
 21   82.4   95.6  15:22   73.3  03:35    0.0   17.4   0.00    1.4    9.0  16:46    163
 22   69.0   76.8  00:00   57.9  23:59    0.0    4.0   0.25    1.1   12.0  09:19     93
 23   66.6   80.2  13:54   52.2  04:33    0.0    1.6   0.00    1.1    8.0  10:54    126
 24   69.4   82.9  14:45   54.2  06:02    0.0    4.4   0.00    1.3    8.0  10:14    143
 25   72.4   84.1  14:48   57.5  05:21    0.0    7.4   0.00    1.4    9.0  14:13    166
 26   79.0   89.5  15:04   71.6  04:01    0.0   14.0   0.05    1.8    9.0  11:01    165
 27   82.1   94.8  14:46   72.6  04:04    0.0   17.1   0.00    2.1   13.0  13:47    166
 28   84.8   97.6  14:34   74.1  05:26    0.0   19.8   0.00    1.9    9.0  16:56    166
 29   86.0   99.1  12:41   73.8  05:46    0.0   21.0   0.00    1.7   12.0  15:50    175
 30   86.3  101.2  13:10   73.6  05:28    0.0   21.3   0.09    1.4   12.0  17:56    160
---------------------------------------------------------------------------------------
      77.5  101.2     30  -40.0     01    0.0  384.0   4.19    2.5  111.0     02    146
    
