                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2021


NAME: Kingstowne, VA                  
ELEV: 28 feet    LAT: 38-46.01 N    LONG: 077-09.08 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   79.5   96.8  13:21   69.8  21:39    0.0   14.5   0.65    0.9   11.0  15:02    149
 02   73.8   83.8  16:04   68.6  23:59    0.0    8.8   0.15    1.1   13.0  18:02    110
 03   72.4   84.0  15:45   61.7  06:13    0.0    7.4   0.07    1.8   13.0  11:47     98
 04   75.9   90.0  14:30   60.6  05:32    0.0   10.9   0.01    0.8    7.0  12:19    142
 05   80.7   92.2  13:46   67.4  05:45    0.0   15.7   0.00    1.2   10.0  12:40    169
 06   84.7   98.8  13:57   70.5  05:47    0.0   19.7   0.00    1.3   12.0  16:14    173
 07   86.4   99.6  12:34   74.2  06:14    0.0   21.4   0.00    1.2    9.0  17:03    169
 08   78.9   91.0  12:35   70.6  21:13    0.0   13.9   0.70    1.5   14.0  13:51    147
 09   78.1   93.7  14:48   68.8  06:21    0.0   13.1   0.16    1.3   10.0  01:48    140
 10   77.7   87.1  15:13   68.5  06:35    0.0   12.7   0.00    1.3    9.0  10:02    116
 11   82.8   94.8  14:04   71.8  06:09    0.0   17.8   0.00    1.7   11.0  17:49    164
 12   85.3   97.3  14:55   76.3  04:54    0.0   20.3   0.00    1.8   10.0  17:00    170
 13   86.8   98.0  13:54   77.0  06:08    0.0   21.8   0.00    2.0   12.0  16:30    169
 14   81.8   97.0  13:58   72.2  22:34    0.0   16.8   0.15    1.1   10.0  16:52    166
 15   82.4   96.7  14:19   69.3  05:23    0.0   17.4   0.01    0.9    8.0  15:44    155
 16   86.4   99.3  13:40   73.1  06:14    0.0   21.4   0.00    1.1   10.0  16:25    170
 17   85.7   97.9  13:33   76.3  06:30    0.0   20.7   0.00    1.7   12.0  14:58    177
 18   78.8   87.7  12:39   72.0  05:42    0.0   13.8   0.00    1.7   11.0  16:26    103
 19   80.2   93.0  14:17   71.5  05:31    0.0   15.2   0.00    0.9    6.0  11:54    140
 20   82.7   96.9  14:51   70.8  03:46    0.0   17.7   0.00    1.0    6.0  08:12    135
 21   82.4   95.3  15:17   73.0  04:38    0.0   17.4   0.00    1.4   11.0  22:04    103
 22   76.5   87.7  14:39   66.1  06:32    0.0   11.5   0.00    1.7    9.0  09:32     90
 23   76.4   90.5  14:14   66.3  02:59    0.0   11.4   0.00    1.2    8.0  15:56    107
 24   77.4   92.2  13:48   66.0  04:36    0.0   12.4   0.00    1.6   11.0  19:10    166
 25   81.8   94.6  14:52   72.9  05:19    0.0   16.8   0.00    1.8    9.0  01:26    168
 26   82.6   98.3  14:55   71.0  20:17    0.0   17.6   1.25    1.1   16.0  19:49    127
 27   82.2   96.5  14:43   69.5  05:15    0.0   17.2   0.00    0.6    8.0  14:06    136
 28   83.0   96.2  15:43   69.4  23:05    0.0   18.0   1.28    1.5   20.0  22:56    114
 29   78.2   89.2  13:07   69.7  00:50    0.0   13.2   0.02    0.7    8.0  11:44    169
 30   82.4   93.0  14:40   73.5  03:09    0.0   17.4   0.00    1.6   10.0  13:23     99
 31   74.7   84.8  14:55   68.4  03:57    0.0    9.7   0.00    1.4    8.0  13:49    132
---------------------------------------------------------------------------------------
      80.6   99.6     07   60.6     04    0.0  483.7   4.45    1.3   20.0     28    143
    
