                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2021


NAME: Kingstowne, VA                  
ELEV: 28 feet    LAT: 38-46.01 N    LONG: 077-09.08 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   61.7   75.4  15:14   50.3  07:17    3.3    0.0   0.00    0.7    6.0  09:59    118
 02   65.8   80.7  15:08   52.1  07:07    0.0    0.8   0.00    0.7   10.0  15:46    164
 03   72.5   86.2  14:23   60.1  07:20    0.0    7.5   0.00    0.8    6.0  14:00    164
 04   75.6   86.3  14:45   68.1  07:24    0.0   10.6   0.00    0.9    7.0  14:01    165
 05   72.9   83.5  15:21   64.8  07:23    0.0    7.9   0.00    1.6   11.0  17:33     93
 06   68.8   71.3  15:34   65.8  23:59    0.0    3.8   0.02    1.9    9.0  08:39    103
 07   69.0   78.8  15:11   63.6  05:04    0.0    4.0   0.00    0.8    6.0  02:41    120
 08   70.0   79.5  14:58   61.9  05:27    0.0    5.0   0.00    0.5    6.0  12:30    158
 09   68.0   73.5  14:47   63.2  06:53    0.0    3.0   0.00    2.3   11.0  11:05     92
 10   68.1   73.7  15:51   64.5  02:56    0.0    3.1   0.01    2.9   12.0  20:21     76
 11   66.0   68.3  15:27   63.6  03:12    0.0    1.0   0.00    1.5    8.0  01:42     88
 12   66.9   73.3  14:31   63.0  06:05    0.0    1.9   0.02    0.9    6.0  06:19    104
 13   68.9   75.8  13:39   64.4  23:50    0.0    3.9   0.01    0.3    4.0  11:07    167
 14   69.2   81.6  15:04   60.1  04:31    0.0    4.2   0.00    0.8   10.0  13:51     97
 15   70.3   83.6  14:42   60.3  05:21    0.0    5.3   0.00    0.7    7.0  16:26    168
 16   66.1   82.4  14:02   52.9  23:56    0.0    1.1   0.28    1.7   11.0  12:52    150
 17   55.7   66.1  15:17   48.1  23:44    9.3    0.0   0.01    1.4   11.0  11:49    116
 18   55.4   70.5  14:49   43.4  05:15    9.6    0.0   0.00    1.2   12.0  16:48    123
 19   57.1   74.8  15:06   42.0  06:38    7.9    0.0   0.00    0.7    8.0  16:09    167
 20   62.0   78.3  15:02   49.0  07:33    3.0    0.0   0.00    0.5    6.0  12:28    154
 21   62.4   76.4  14:50   48.7  07:27    2.6    0.0   0.00    0.8    9.0  16:22    168
 22   63.8   71.3  14:22   55.0  22:42    1.2    0.0   0.00    1.1   11.0  00:20    118
 23   58.7   69.6  14:50   52.2  01:39    6.3    0.0   0.00    0.6    7.0  13:07    163
 24   60.1   70.9  15:08   53.3  00:00    4.9    0.0   0.00    1.1    8.0  12:21    163
 25   65.0   79.0  15:27   59.6  06:25    0.0    0.0   1.69    2.0   13.0  09:59    164
 26   58.6   65.9  11:04   51.7  23:52    6.4    0.0   0.20    3.3   14.0  18:44     96
 27   59.5   71.4  15:14   51.7  00:35    5.5    0.0   0.00    2.9   13.0  01:26     77
 28   58.5   68.2  14:32   48.3  07:36    6.5    0.0   0.00    1.5    9.0  12:30    150
 29   58.1   61.1  14:57   55.7  03:49    6.9    0.0   0.97    3.5   16.0  08:22     87
 30   58.1   62.6  12:18   53.5  23:58    6.9    0.0   0.13    1.0    9.0  10:06    166
 31   57.3   68.6  14:51   50.4  23:56    7.7    0.0   0.00    1.1    9.0  15:26    142
---------------------------------------------------------------------------------------
      64.3   86.3     04   42.0     19   88.0   63.0   3.34    1.3   16.0     29    117
    
