                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2021


NAME: Kingstowne, VA                  
ELEV: 28 feet    LAT: 38-46.01 N    LONG: 077-09.08 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   44.5   58.0  13:51   29.5  07:00   20.5    0.0   0.00    1.1    9.0  13:50    165
 02   54.0   63.5  13:56   42.2  06:14   11.0    0.0   0.00    1.6   12.0  14:43    185
 03   48.6   59.1  00:00   40.0  23:54   16.4    0.0   0.00    1.7   11.0  00:59     77
 04   46.3   59.0  13:59   37.7  04:59   18.7    0.0   0.00    0.7    7.0  11:13     91
 05   45.4   53.4  13:54   35.6  05:20   19.6    0.0   0.00    1.1    8.0  10:03    144
 06   53.8   68.5  13:34   41.5  23:58   11.2    0.0   0.00    2.8   15.0  20:44    155
 07   37.0   44.7  14:01   31.7  05:44   28.0    0.0   0.00    1.1   11.0  00:31    103
 08   38.3   44.5  13:43   32.4  00:01   26.7    0.0   0.00    1.0    9.0  20:57    132
 09   36.3   43.9  13:45   26.4  07:26   28.7    0.0   0.00    1.1    9.0  22:56    161
 10   45.8   54.2  14:27   36.8  00:00   19.2    0.0   0.00    1.2    9.0  00:51    175
 11   57.3   68.2  16:03   47.3  23:57    7.7    0.0   0.14    3.3   17.0  09:00    187
 12   42.4   50.7  13:58   32.2  23:58   22.6    0.0   0.00    1.8   13.0  00:53     93
 13   39.0   55.1  13:47   28.1  07:23   26.0    0.0   0.00    0.4    6.0  15:40    186
 14   43.5   58.1  14:07   31.9  06:39   21.5    0.0   0.00    0.7    8.0  11:12     85
 15   46.3   59.7  14:02   33.9  03:37   18.7    0.0   0.00    0.6    7.0  13:46    166
 16   55.0   66.9  14:04   42.2  07:14   10.0    0.0   0.00    2.0   12.0  14:04    195
 17   59.5   66.0  11:10   54.8  23:56    5.5    0.0   0.00    1.5   10.0  10:01    104
 18   52.4   56.0  23:51   50.1  07:37   12.6    0.0   0.00    1.3    7.0  03:21    118
 19   43.9   56.9  00:57   32.1  23:57   21.1    0.0   0.00    3.8   16.0  04:40     45
 20   32.5   42.3  14:11   26.3  06:13   32.5    0.0   0.00    1.0    9.0  14:59    125
 21   34.5   41.9  14:30   26.1  02:58   30.5    0.0   0.03    1.0    8.0  18:44     95
 22   39.8   50.0  14:04   31.4  23:58   25.2    0.0   0.01    2.0   15.0  12:04     80
 23   33.5   42.4  14:10   24.7  06:24   31.5    0.0   0.00    1.1    7.0  10:17    134
 24   46.0   54.6  14:31   36.7  00:00   19.0    0.0   0.00    1.4   12.0  03:30    180
 25   58.2   69.0  14:21   49.3  02:30    6.8    0.0   0.07    1.8   12.0  20:24    196
 26   53.9   63.2  13:53   43.1  23:57   11.1    0.0   0.00    1.5    9.0  19:33     82
 27   39.9   43.2  00:00   37.1  23:43   25.1    0.0   0.00    1.6    9.0  04:41    123
 28   48.4   58.1  14:29   37.2  00:00   16.6    0.0   0.00    0.9    7.0  21:53    135
 29   51.0   54.8  14:05   47.7  20:47   14.0    0.0   0.08    1.2    7.0  04:03    102
 30   50.4   54.0  15:08   47.5  03:38   14.6    0.0   0.13    0.5    6.0  02:03    130
 31   54.1   59.7  13:51   50.7  07:24   10.9    0.0   0.00    1.0    9.0  10:58    176
---------------------------------------------------------------------------------------
      46.2   69.0     25   24.7     23  583.4    0.0   0.46    1.4   17.0     11    131
    
