                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2022


NAME: Kingstowne, VA                  
ELEV: 28 feet    LAT: 38-46.01 N    LONG: 077-09.08 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   58.5   62.4  21:34   55.3  00:51    6.5    0.0   0.37    0.8    7.0  13:23    164
 02   57.2   63.2  13:59   45.0  23:58    7.8    0.0   0.11    1.6   11.0  20:25     80
 03   31.1   45.1  00:00   22.6  21:42   33.9    0.0   0.16    1.5   12.0  00:56     56
 04   26.9   36.2  13:09   17.8  07:24   38.1    0.0   0.00    0.3    9.0  14:44    186
 05   33.8   39.8  13:41   24.0  00:10   31.2    0.0   0.17    1.1    8.0  09:50    190
 06   38.5   46.8  10:00   33.9  07:52   26.5    0.0   0.31    1.5   10.0  20:47     89
 07   28.4   34.8  00:00   22.8  23:33   36.6    0.0   0.00    2.7   13.0  16:20     93
 08   26.2   33.9  13:42   19.9  07:39   38.8    0.0   0.01    1.3    7.0  05:33    143
 09   36.4   42.8  21:51   28.1  00:01   28.6    0.0   0.63    1.8   11.0  10:44    177
 10   33.5   42.2  00:00   26.6  23:54   31.5    0.0   0.01    3.0   12.0  04:16     84
 11   24.5   29.3  14:22   20.7  23:59   40.5    0.0   0.00    2.0   12.0  04:17     78
 12   33.5   46.4  14:10   19.7  00:57   31.5    0.0   0.00    1.8   13.0  08:53    187
 13   40.1   50.3  13:16   29.0  07:12   24.9    0.0   0.00    0.7    6.0  13:18    112
 14   40.2   47.0  11:37   33.9  23:53   24.8    0.0   0.00    3.1   14.0  17:14     52
 15   25.0   34.0  00:01   18.3  23:56   40.0    0.0   0.00    2.5   11.0  08:12     66
 16   23.3   39.1  23:20   15.8  05:58   41.7    0.0   0.67    3.7   20.0  22:38     74
 17   35.3   41.8  10:40   32.9  07:04   29.7    0.0   0.21    3.4   17.0  01:36    162
 18   33.9   41.1  14:24   26.8  23:52   31.1    0.0   0.00    1.7   11.0  00:09    126
 19   41.1   54.6  14:03   26.5  01:49   23.9    0.0   0.02    2.3   13.0  15:32    197
 20   36.3   44.6  00:00   26.0  23:50   28.7    0.0   0.25    2.1   13.0  13:55     56
 21   22.3   26.0  00:00   17.7  07:46   42.7    0.0   0.00    3.2   12.0  02:37     58
 22   23.4   32.8  14:36   14.0  07:38   41.6    0.0   0.00    1.4    9.0  09:19     86
 23   30.8   39.8  14:17   20.8  06:23   34.2    0.0   0.00    0.7    8.0  12:58    187
 24   35.7   40.9  13:19   28.4  07:50   29.3    0.0   0.00    1.5   10.0  13:32    157
 25   36.9   49.9  13:51   29.0  23:59   28.1    0.0   0.00    2.1   12.0  21:37     51
 26   27.2   34.0  14:35   20.7  07:40   37.8    0.0   0.00    2.0   11.0  03:07     68
 27   26.5   36.2  14:11   15.2  07:19   38.5    0.0   0.00    1.0   10.0  11:43    184
 28   33.4   40.5  12:11   29.8  04:27   31.6    0.0   0.00    1.6    9.0  14:59     82
 29   24.7   31.0  00:00   19.8  23:29   40.3    0.0   0.00    3.5   13.0  06:52     65
 30   24.0   31.2  14:12   13.0  07:09   41.0    0.0   0.00    1.1   11.0  00:08    149
 31   29.5   39.4  14:27   23.2  04:43   35.5    0.0   0.03    2.3   10.0  16:55     84
---------------------------------------------------------------------------------------
      32.8   63.2     02   13.0     30  997.1    0.0   2.95    1.9   20.0     16     96
    
