                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2022


NAME: Kingstowne, VA                  
ELEV: 28 feet    LAT: 38-46.01 N    LONG: 077-09.08 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   32.3   44.3  14:33   23.5  06:50   32.7    0.0   0.03    1.4    8.0  15:07    117
 02   37.3   48.4  14:40   26.9  04:06   27.7    0.0   0.00    0.8    7.0  14:29    165
 03   46.9   57.5  23:40   41.5  01:42   18.1    0.0   0.33    0.8   10.0  21:56    175
 04   46.2   60.3  04:26   32.9  23:59   18.8    0.0   0.88    3.3   16.0  01:23     74
 05   30.0   34.5  14:29   24.8  23:57   35.0    0.0   0.00    3.2   16.0  10:48     66
 06   28.8   38.0  14:38   20.3  07:08   36.2    0.0   0.00    1.4    8.0  10:48    124
 07   36.8   43.8  13:49   29.1  00:04   28.2    0.0   0.07    0.9    5.0  11:50    111
 08   37.8   50.1  14:43   29.2  07:28   27.2    0.0   0.00    0.8    9.0  09:41    116
 09   41.2   56.6  14:40   27.1  04:39   23.8    0.0   0.00    1.3    9.0  13:40    179
 10   46.8   62.7  14:21   32.7  07:25   18.2    0.0   0.00    1.1   10.0  10:31    181
 11   50.1   68.0  14:31   31.6  05:43   14.9    0.0   0.00    1.9   16.0  14:09    189
 12   53.4   62.1  10:53   44.8  23:59   11.6    0.0   0.00    1.9   11.0  02:44     93
 13   33.2   44.9  00:00   25.6  23:32   31.8    0.0   0.07    2.0   11.0  00:01     69
 14   27.7   33.0  13:54   22.2  23:58   37.3    0.0   0.00    1.6   10.0  13:18    101
 15   29.3   39.6  14:17   19.1  07:14   35.7    0.0   0.00    1.1   10.0  15:52    172
 16   41.1   53.8  16:01   27.0  06:38   23.9    0.0   0.00    1.6   11.0  16:19    177
 17   59.3   69.1  14:24   48.3  03:52    5.7    0.0   0.00    3.1   17.0  16:36    187
 18   47.4   66.9  04:59   29.3  23:43   17.6    0.0   0.01    3.9   21.0  04:21     97
 19   33.6   50.7  13:02   24.5  04:10   31.4    0.0   0.00    2.9   15.0  14:45     95
 20   31.4   43.1  14:19   19.0  06:50   33.6    0.0   0.00    1.5   10.0  11:40    174
 21   48.0   67.3  14:41   28.9  07:00   17.0    0.0   0.00    1.2   10.0  15:03    180
 22   57.5   65.4  23:04   48.1  04:14    7.5    0.0   0.04    2.8   17.0  16:41    195
 23   61.1   76.9  14:22   41.8  23:59    3.9    0.0   0.03    2.9   14.0  18:59    128
 24   35.3   41.9  00:00   32.2  23:41   29.7    0.0   0.32    2.9   12.0  04:23     74
 25   40.0   58.8  14:42   32.2  00:43   25.0    0.0   0.10    2.5   14.0  15:56     70
 26   36.6   44.7  15:05   31.5  07:08   28.4    0.0   0.00    1.9   13.0  05:12     72
 27   43.3   55.8  15:03   32.7  07:07   21.7    0.0   0.00    1.0    8.0  12:40    136
 28   41.9   51.7  14:49   34.5  23:52   23.1    0.0   0.00    1.8   10.0  07:48     99
---------------------------------------------------------------------------------------
      41.2   76.9     23   19.0     20  665.6    0.0   1.88    1.9   21.0     18    125
    
